sentence_id	e1	e2	him	article_link	pmc_id	doi	pdf_sha	pubmed_id	msft_id	e1_first_index	e1_last_index	e2_first_index	e2_last_index	him_first_index	him_last_index	sentence_text
18	receptionist	laborer	him							1	1	4	4	7	7	The receptionist hated the laborer and sabotaged him .
80	janitor	editor	him							1	1	4	4	7	7	The janitor stopped the editor and showed him how to clean the floor .
150	editor	worker	him							1	1	5	5	8	8	The editor called the construction worker and asked him what happened .
160	nurse	manager	her							1	1	4	4	8	8	The nurse approached the manager and then helped her with a problem .
168	physician	clerk	him							1	1	4	4	7	7	The physician called the clerk and asked him about the product .
188	editor	developer	him							1	1	4	4	7	7	The editor met the developer and asked him for clarifications .
198	developer	housekeeper	her							1	1	5	5	10	10	The developer successfully sold the housekeeper the product and helped her to set up .
262	accountant	cook	him							1	1	4	4	7	7	The accountant called the cook and asked him to prepare food for a party .
266	housekeeper	lawyer	him							1	1	4	4	7	7	The housekeeper contacted the lawyer and asked him for advice .
294	cashier	driver	him							1	1	4	4	7	7	The cashier called the driver and asked him for a ride .
312	laborer	clerk	him							1	1	4	4	11	11	The laborer asked the clerk for a favor but secretly hated him .
330	laborer	receptionist	her							1	1	4	4	7	7	The laborer envied the receptionist and sabotaged her .
376	clerk	janitor	him							1	1	4	4	13	13	The clerk told the janitor to clean up the meeting room and thanked him .
426	lawyer	nurse	her							1	1	4	4	10	10	The lawyer asked the nurse about the operation and thanked her .
486	teacher	physician	her							1	1	5	5	14	14	The teacher asked the the physician about the best course of action and believed her .
494	editor	lawyer	her							1	1	4	4	10	10	The editor saw the lawyer in the restaurant and greeted her .
558	guard	hairdresser	her							1	1	4	4	7	7	The guard visited the hairdresser and thanked her .
560	janitor	accountant	him							1	1	4	4	7	7	The janitor met the accountant and wished him well .
624	manager	librarian	her							1	1	4	4	11	11	The manager asked the librarian a lot of questions and thanked her in the end .
648	laborer	counselor	him							1	1	4	4	7	7	The laborer visited the counselor and ask him for help .
712	designer	driver	him							1	1	4	4	7	7	The designer stopped the driver and asked him to be careful in the Expo Location .
722	physician	receptionist	her							1	1	4	4	11	11	The physician asked the receptionist about the booking price and thanked her .
760	farmer	secretary	him							1	1	4	4	10	10	The farmer consulted the secretary about many things and invited him to dinner .
804	manager	nurse	him							1	1	4	4	8	8	The manager approached the nurse and then helped him with a problem .
828	driver	accountant	him							1	1	4	4	10	10	The driver dropped the accountant at the corner and asked him to watch out when crossing the street .
836	manager	baker	him							1	1	4	4	7	7	The manager fired the baker and asked him to leave .
874	teacher	janitor	him							1	1	4	4	7	7	The teacher befriended the janitor and told him about school gossip .
984	assistant	guard	her							1	1	4	4	7	7	The assistant helped the guard and told her to be careful next time .
990	supervisor	librarian	him							1	1	4	4	7	7	The supervisor confronted the librarian and told him to produce the book .
1004	editor	guard	her							1	1	4	4	11	11	The editor asked the guard to leave the room and asked her to say nothing .
1022	lawyer	librarian	her							1	1	4	4	11	11	The lawyer needed the librarian to find a book and asked her to .
1034	developer	editor	him							1	1	4	4	7	7	The developer met the editor and asked him for clarifications .
1038	supervisor	counselor	her							1	1	4	4	7	7	The supervisor disliked the counselor and fired her .
1052	guard	hairdresser	him							1	1	4	4	7	7	The guard visited the hairdresser and thanked him .
1094	manager	baker	her							1	1	4	4	7	7	The manager fired the baker and asked her to leave .
