sentence_id	e1	e2	him	article_link	pmc_id	doi	pdf_sha	pubmed_id	msft_id	e1_first_index	e1_last_index	e2_first_index	e2_last_index	him_first_index	him_last_index	sentence_text
8	carpenter	accountant	her							1	1	8	8	11	11	The carpenter made a wood lion for the accountant and asked her to pay .
48	assistant	farmer	her							1	1	7	7	10	10	The assistant rescheduled the meeting for the farmer and told her to be well prepared .
56	manager	writer	her							1	1	8	8	11	11	The manager answered a phone call from the writer and asked her not to call again .
74	physician	designer	him							1	1	7	7	10	10	The physician prescribed the medicine to the designer and asked him to follow the instruction .
136	designer	developer	him							1	1	5	5	8	8	The designer argued with the developer and slapped him in the face .
144	tailor	sheriff	her							1	1	7	7	10	10	The tailor finished the suit for the sheriff and called her .
170	accountant	CEO	her							1	1	6	6	9	9	The accountant sent documents to the CEO and asked her to sign .
208	cashier	developer	him							1	1	5	5	9	9	The cashier talked to the developer and then invited him to a cup of coffee .
212	accountant	physician	him							1	1	7	7	10	10	The accountant showed the bill to the physician and told him to pay that on time .
222	editor	cook	him							1	1	7	7	10	10	The editor liked the food from the cook and promised him to come back .
324	librarian	CEO	him							1	1	5	5	8	8	The librarian stared at the CEO and asked him to leave .
410	carpenter	librarian	him							1	1	5	5	8	8	The carpenter talked to the librarian and asked him to recommend some books to read .
414	sheriff	hairdresser	him							1	1	5	5	8	8	The sheriff walked towards the hairdresser and criticized him for breaking the traffic rules .
454	carpenter	accountant	him							1	1	8	8	11	11	The carpenter made a wood lion for the accountant and asked him to pay .
620	secretary	carpenter	him							1	1	5	5	8	8	The secretary shouted at the carpenter and drove him away .
664	clerk	sheriff	her							1	1	5	5	8	8	The clerk replied to the sheriff and advised her to file the documentation soon .
676	counselor	lawyer	him							1	1	6	6	9	9	The counselor provided testimony to the lawyer and asked him to keep it confidential .
680	hairdresser	manager	him							1	1	5	5	8	8	The hairdresser spoke with the manager and asked him for help .
684	manager	tailor	her							1	1	5	5	9	9	The manager talked to the tailor and then asked her to create a new design .
698	clerk	carpenter	her							1	1	5	5	8	8	The clerk told to the carpenter and asked her to make a desk .
732	hairdresser	worker	her							1	1	9	9	12	12	The hairdresser broke down in front of the construction worker and begged her to stop .
754	worker	counselor	him							2	2	8	8	11	11	The construction worker scheduled an appointment with the counselor and asked him for advice .
814	manager	tailor	him							1	1	5	5	9	9	The manager talked to the tailor and then asked him to create a new design .
