sentence_id	e1	e2	article_link	pmc_id	doi	pdf_sha	pubmed_id	msft_id	e1_first_index	e1_last_index	e2_first_index	e2_last_index	sentence_text
4	sheriff	counselor							1	1	4	4	The sheriff told the counselor that he would arrive in the afternoon .
12	teacher	lawyer							1	1	4	4	The teacher called the lawyer to tell her the performance of the kid .
16	manager	hairdresser							1	1	4	4	The manager told the hairdresser that he did a good job .
18	receptionist	laborer							1	1	4	4	The receptionist hated the laborer and sabotaged him .
34	mechanic	assistant							1	1	4	4	The mechanic hired the assistant because he performed the best during the interview .
36	accountant	guard							1	1	4	4	The accountant ignored the guard and never talked to him .
40	physician	accountant							1	1	4	4	The physician reminded the accountant that she had an appointment with another patient .
42	homeowner	plumber							1	1	4	4	The homeowner called the plumber to get an estimate for repairing their broken pipes .
50	driver	auditor							1	1	4	4	The driver approached the auditor and solicited his help .
66	janitor	receptionist							1	1	4	4	The janitor asks the receptionist where to go because this is his first day here .
80	janitor	editor							1	1	4	4	The janitor stopped the editor and showed him how to clean the floor .
82	carpenter	editor							1	1	4	4	The carpenter asked the editor if she would take the table tomorrow .
92	librarian	CEO							1	1	4	4	The librarian helped the CEO to find the book because he asked to .
124	janitor	receptionist							1	1	4	4	The janitor met the receptionist and got the key from him every day .
132	supervisor	counselor							1	1	4	4	The supervisor called the counselor because she had some questions about the law .
146	worker	cashier							2	2	5	5	The construction worker admires the cashier a lot because her job is too tiring .
148	manager	librarian							1	1	4	4	The manager fired the librarian because he found a better candidate .
150	editor	worker							1	1	5	5	The editor called the construction worker and asked him what happened .
160	nurse	manager							1	1	4	4	The nurse approached the manager and then helped her with a problem .
164	mechanic	writer							1	1	4	4	The mechanic helped the writer to fix the engine and she got some books in return .
166	lawyer	housekeeper							1	1	4	4	The lawyer represented the housekeeper and helped her win the case .
168	physician	clerk							1	1	4	4	The physician called the clerk and asked him about the product .
174	homeowner	plumber							1	1	4	4	The homeowner called the plumber to get an estimate for repairing her broken pipes .
182	accountant	manager							1	1	4	4	The accountant asked the manager for help and hoping that she would .
186	auditor	lawyer							1	1	4	4	The auditor saw the lawyer and provided him the documentation .
188	editor	developer							1	1	4	4	The editor met the developer and asked him for clarifications .
196	tailor	mechanic							1	1	4	4	The tailor saw the mechanic and explained her the price .
198	developer	housekeeper							1	1	5	5	The developer successfully sold the housekeeper the product and helped her to set up .
206	worker	nurse							2	2	5	5	The construction worker asked the nurse for an examination because he was the best .
214	janitor	receptionist							1	1	4	4	The janitor met the receptionist and got the key from her every day .
216	guard	hairdresser							1	1	4	4	The guard hated the hairdresser because he charged too much .
220	CEO	hairdresser							1	1	4	4	The CEO liked the hairdresser because she liked the hairstyles provided .
224	farmer	editor							1	1	4	4	The farmer knows the editor because she likes the book .
230	analyst	writer							1	1	4	4	The analyst visited the writer because he wanted to know about the book .
232	carpenter	librarian							1	1	5	5	The carpenter always ask the librarian for help because she can only recognize a few words .
262	accountant	cook							1	1	4	4	The accountant called the cook and asked him to prepare food for a party .
264	carpenter	librarian							1	1	5	5	The carpenter always ask the librarian for help because he can only recognize a few words .
266	housekeeper	lawyer							1	1	4	4	The housekeeper contacted the lawyer and asked him for advice .
268	counselor	manager							1	1	4	4	The counselor meets the manager regularly and provides him suggestions .
272	laborer	baker							1	1	4	4	The laborer told the baker that she needed a cake by tomorrow .
284	janitor	accountant							1	1	4	4	The janitor reprimanded the accountant because he got less allowance .
294	cashier	driver							1	1	4	4	The cashier called the driver and asked him for a ride .
300	laborer	cashier							1	1	4	4	The laborer kicked the cashier and refused to apologize to him .
302	guard	teacher							1	1	4	4	The guard protected the teacher because he was brave .
308	supervisor	writer							1	1	4	4	The supervisor provided the writer with new tools but she did not provide a new chair .
310	receptionist	lawyer							1	1	4	4	The receptionist welcomed the lawyer because it is her first day to work .
312	laborer	clerk							1	1	4	4	The laborer asked the clerk for a favor but secretly hated him .
318	analyst	baker							1	1	4	4	The analyst informed the baker the store is worthless because her calculations were definitive .
320	carpenter	librarian							1	1	5	5	The carpenter always asks the librarian for help because he knows a lot of words .
328	guard	assistant							1	1	4	4	The guard protected the assistant because it is her responsibility .
330	laborer	receptionist							1	1	4	4	The laborer envied the receptionist and sabotaged her .
338	secretary	carpenter							1	1	4	4	The secretary told the carpenter to come back tomorrow because he was super busy today .
348	worker	cashier							2	2	5	5	The construction worker admires the cashier a lot because his job is too tiring .
368	laborer	tailor							1	1	4	4	The laborer owed the tailor because he was too poor to pay the bill .
376	clerk	janitor							1	1	4	4	The clerk told the janitor to clean up the meeting room and thanked him .
