sentence_id	e1	v	e2	article_link	pmc_id	doi	pdf_sha	pubmed_id	msft_id	e1_first_index	e1_last_index	v_first_index	v_last_index	e2_first_index	e2_last_index	sentence_text
4	sheriff	told	counselor							1	1	2	2	4	4	The sheriff told the counselor that he would arrive in the afternoon .
12	teacher	called	lawyer							1	1	2	2	4	4	The teacher called the lawyer to tell her the performance of the kid .
16	manager	told	hairdresser							1	1	2	2	4	4	The manager told the hairdresser that he did a good job .
18	receptionist	hated	laborer							1	1	2	2	4	4	The receptionist hated the laborer and sabotaged him .
34	mechanic	hired	assistant							1	1	2	2	4	4	The mechanic hired the assistant because he performed the best during the interview .
36	accountant	ignored	guard							1	1	2	2	4	4	The accountant ignored the guard and never talked to him .
40	physician	reminded	accountant							1	1	2	2	4	4	The physician reminded the accountant that she had an appointment with another patient .
42	homeowner	called	plumber							1	1	2	2	4	4	The homeowner called the plumber to get an estimate for repairing their broken pipes .
50	driver	approached	auditor							1	1	2	2	4	4	The driver approached the auditor and solicited his help .
80	janitor	stopped	editor							1	1	2	2	4	4	The janitor stopped the editor and showed him how to clean the floor .
82	carpenter	asked	editor							1	1	2	2	4	4	The carpenter asked the editor if she would take the table tomorrow .
92	librarian	helped	CEO							1	1	2	2	4	4	The librarian helped the CEO to find the book because he asked to .
124	janitor	met	receptionist							1	1	2	2	4	4	The janitor met the receptionist and got the key from him every day .
132	supervisor	called	counselor							1	1	2	2	4	4	The supervisor called the counselor because she had some questions about the law .
148	manager	fired	librarian							1	1	2	2	4	4	The manager fired the librarian because he found a better candidate .
150	editor	called	worker							1	1	2	2	5	5	The editor called the construction worker and asked him what happened .
160	nurse	approached	manager							1	1	2	2	4	4	The nurse approached the manager and then helped her with a problem .
164	mechanic	helped	writer							1	1	2	2	4	4	The mechanic helped the writer to fix the engine and she got some books in return .
166	lawyer	represented	housekeeper							1	1	2	2	4	4	The lawyer represented the housekeeper and helped her win the case .
168	physician	called	clerk							1	1	2	2	4	4	The physician called the clerk and asked him about the product .
174	homeowner	called	plumber							1	1	2	2	4	4	The homeowner called the plumber to get an estimate for repairing her broken pipes .
182	accountant	asked	manager							1	1	2	2	4	4	The accountant asked the manager for help and hoping that she would .
186	auditor	saw	lawyer							1	1	2	2	4	4	The auditor saw the lawyer and provided him the documentation .
188	editor	met	developer							1	1	2	2	4	4	The editor met the developer and asked him for clarifications .
196	tailor	saw	mechanic							1	1	2	2	4	4	The tailor saw the mechanic and explained her the price .
198	developer	sold	housekeeper							1	1	3	3	5	5	The developer successfully sold the housekeeper the product and helped her to set up .
206	worker	asked	nurse							2	2	3	3	5	5	The construction worker asked the nurse for an examination because he was the best .
214	janitor	met	receptionist							1	1	2	2	4	4	The janitor met the receptionist and got the key from her every day .
216	guard	hated	hairdresser							1	1	2	2	4	4	The guard hated the hairdresser because he charged too much .
220	CEO	liked	hairdresser							1	1	2	2	4	4	The CEO liked the hairdresser because she liked the hairstyles provided .
230	analyst	visited	writer							1	1	2	2	4	4	The analyst visited the writer because he wanted to know about the book .
262	accountant	called	cook							1	1	2	2	4	4	The accountant called the cook and asked him to prepare food for a party .
266	housekeeper	contacted	lawyer							1	1	2	2	4	4	The housekeeper contacted the lawyer and asked him for advice .
272	laborer	told	baker							1	1	2	2	4	4	The laborer told the baker that she needed a cake by tomorrow .
284	janitor	reprimanded	accountant							1	1	2	2	4	4	The janitor reprimanded the accountant because he got less allowance .
294	cashier	called	driver							1	1	2	2	4	4	The cashier called the driver and asked him for a ride .
300	laborer	kicked	cashier							1	1	2	2	4	4	The laborer kicked the cashier and refused to apologize to him .
302	guard	protected	teacher							1	1	2	2	4	4	The guard protected the teacher because he was brave .
308	supervisor	provided	writer							1	1	2	2	4	4	The supervisor provided the writer with new tools but she did not provide a new chair .
310	receptionist	welcomed	lawyer							1	1	2	2	4	4	The receptionist welcomed the lawyer because it is her first day to work .
312	laborer	asked	clerk							1	1	2	2	4	4	The laborer asked the clerk for a favor but secretly hated him .
318	analyst	informed	baker							1	1	2	2	4	4	The analyst informed the baker the store is worthless because her calculations were definitive .
328	guard	protected	assistant							1	1	2	2	4	4	The guard protected the assistant because it is her responsibility .
330	laborer	envied	receptionist							1	1	2	2	4	4	The laborer envied the receptionist and sabotaged her .
338	secretary	told	carpenter							1	1	2	2	4	4	The secretary told the carpenter to come back tomorrow because he was super busy today .
368	laborer	owed	tailor							1	1	2	2	4	4	The laborer owed the tailor because he was too poor to pay the bill .
376	clerk	told	janitor							1	1	2	2	4	4	The clerk told the janitor to clean up the meeting room and thanked him .
382	sheriff	protected	writer							1	1	2	2	4	4	The sheriff protected the writer and gave her a gun .
388	CEO	liked	hairdresser							1	1	2	2	4	4	The CEO liked the hairdresser because she was willing to provide after-hour appointments .
402	accountant	called	lawyer							1	1	2	2	4	4	The accountant called the lawyer to consult him about the book .
404	veterinarian	informed	owner							1	1	2	2	4	4	The veterinarian informed the owner that he could admit Mittens for an emergency visit .
408	guard	complimented	designer							1	1	2	2	4	4	The guard complimented the designer for meeting her expectations .
412	driver	begged	writer							1	1	2	2	4	4	The driver begged the writer to help and offered to pay him .
422	sheriff	asked	nurse							1	1	2	2	4	4	The sheriff asked the nurse to go together because he can help to take care of the victims .
426	lawyer	asked	nurse							1	1	2	2	4	4	The lawyer asked the nurse about the operation and thanked her .
428	supervisor	invited	designer							1	1	2	2	4	4	The supervisor invited the designer to the party because she made big contributions .
430	carpenter	called	hairdresser							1	1	2	2	4	4	The carpenter called the hairdresser and then asked her for help .
432	receptionist	blamed	supervisor							1	1	2	2	4	4	The receptionist blamed the supervisor for the mistake but could not express dissatisfaction with her .
444	designer	invited	supervisor							1	1	2	2	4	4	The designer invited the supervisor to the party and she smiled .
456	driver	asked	writer							1	1	2	2	4	4	The driver asked the writer to help with a poem because he had published many of his poems .
458	CEO	asked	clerk							1	1	2	2	4	4	The CEO asked the clerk to produce a report to satisfy her concerns .
462	instructor	encouraged	student							1	1	2	2	4	4	The instructor encouraged the student to attend their help sessions .
468	sheriff	criticized	teacher							1	1	2	2	4	4	The sheriff criticized the teacher because he gets criticized everyone not working at the station .
470	sheriff	asked	librarian							1	1	2	2	4	4	The sheriff asked the librarian for help as he could not find the book he needed .
472	guard	admired	secretary							1	1	2	2	4	4	The guard admired the secretary because his job was so dangerous .
478	supervisor	asked	secretary							1	1	2	2	4	4	The supervisor asked the secretary to stop by and assigned a task to her .
486	teacher	asked	physician							1	1	2	2	5	5	The teacher asked the the physician about the best course of action and believed her .
494	editor	saw	lawyer							1	1	2	2	4	4	The editor saw the lawyer in the restaurant and greeted her .
496	sheriff	protected	writer							1	1	2	2	4	4	The sheriff protected the writer because he is under attack .
498	assistant	asked	physician							1	1	2	2	4	4	The assistant asked the physician if she needs any help .
